timestamp,target,item_id
2008-08-01,3472,Sales
2008-09-01,3151,Sales
2008-10-01,3351,Sales
2008-11-01,3386,Sales
2008-12-01,4461,Sales
2009-01-01,2913,Sales
2009-02-01,2781,Sales
2009-03-01,3024,Sales
2009-04-01,3130,Sales
2009-05-01,3467,Sales
2009-06-01,3307,Sales
2009-07-01,3555,Sales
2009-08-01,3399,Sales
2009-09-01,3263,Sales
2009-10-01,3425,Sales
2009-11-01,3356,Sales
2009-12-01,4625,Sales
2010-01-01,2878,Sales
2010-02-01,2916,Sales
2010-03-01,3214,Sales
2010-04-01,3310,Sales
2010-05-01,3467,Sales
2010-06-01,3438,Sales
2010-07-01,3657,Sales
2010-08-01,3454,Sales
2010-09-01,3365,Sales
2010-10-01,3497,Sales
2010-11-01,3524,Sales
2010-12-01,4681,Sales
2011-01-01,2888,Sales
2011-02-01,2984,Sales
2011-03-01,3249,Sales
2011-04-01,3363,Sales
2011-05-01,3471,Sales
2011-06-01,3551,Sales
2011-07-01,3740,Sales
2011-08-01,3576,Sales
2011-09-01,3517,Sales
2011-10-01,3515,Sales
2011-11-01,3646,Sales
2011-12-01,4892,Sales
2012-01-01,2995,Sales
2012-02-01,3202,Sales
2012-03-01,3550,Sales
2012-04-01,3409,Sales
2012-05-01,3786,Sales
2012-06-01,3816,Sales
2012-07-01,3733,Sales
2012-08-01,3752,Sales
2012-09-01,3503,Sales
2012-10-01,3626,Sales
2012-11-01,3869,Sales
2012-12-01,5124,Sales
2013-01-01,3143,Sales
2013-02-01,3212,Sales
2013-03-01,3603,Sales
2013-04-01,3463,Sales
2013-05-01,3916,Sales
2013-06-01,3776,Sales
2013-07-01,3994,Sales
2013-08-01,4057,Sales
2013-09-01,3588,Sales
2013-10-01,3741,Sales
2013-11-01,4007,Sales
2013-12-01,5147,Sales
2014-01-01,3333,Sales
2014-02-01,3261,Sales
2014-03-01,3597,Sales
2014-04-01,3643,Sales
2014-05-01,4096,Sales
2014-06-01,3966,Sales
2014-07-01,4166,Sales
2014-08-01,4139,Sales
2014-09-01,3736,Sales
2014-10-01,4003,Sales
2014-11-01,4012,Sales
2014-12-01,5443,Sales
2015-01-01,3486,Sales
2015-02-01,3397,Sales
2015-03-01,3761,Sales
2015-04-01,3768,Sales
2015-05-01,4222,Sales
2015-06-01,4104,Sales
2015-07-01,4409,Sales
2015-08-01,4140,Sales
2015-09-01,3955,Sales
2015-10-01,4145,Sales
2015-11-01,4135,Sales
2015-12-01,5634,Sales
2016-01-01,3488,Sales
2016-02-01,3642,Sales
2016-03-01,3907,Sales
2016-04-01,3965,Sales
2016-05-01,4242,Sales
2016-06-01,4307,Sales
2016-07-01,4571,Sales
2016-08-01,4307,Sales
2016-09-01,4260,Sales
2016-10-01,4262,Sales
2016-11-01,4489,Sales
2016-12-01,5813,Sales
2017-01-01,3578,Sales
2017-02-01,3607,Sales
2017-03-01,4075,Sales
2017-04-01,4078,Sales
2017-05-01,4457,Sales
2017-06-01,4482,Sales
2017-07-01,4598,Sales
2017-08-01,4452,Sales
2017-09-01,4345,Sales
2017-10-01,4342,Sales
2017-11-01,4637,Sales
2017-12-01,5971,Sales
2018-01-01,3789,Sales
2018-02-01,3789,Sales
2018-03-01,4432,Sales
2018-04-01,4139,Sales
2018-05-01,4699,Sales
2018-06-01,4738,Sales
2018-07-01,4760,Sales
2018-08-01,4697,Sales
2018-09-01,4418,Sales
2018-10-01,4559,Sales
2018-11-01,4932,Sales
2018-12-01,6137,Sales
2019-01-01,3944,Sales
2019-02-01,3929,Sales
2019-03-01,4462,Sales
2019-04-01,4375,Sales
2019-05-01,4881,Sales
2019-06-01,4789,Sales
2019-07-01,5013,Sales
2019-08-01,5036,Sales
2019-09-01,4467,Sales
2019-10-01,4688,Sales
2019-11-01,5066,Sales
2019-12-01,6332,Sales
2020-01-01,4178,Sales
2020-02-01,4301,Sales
2020-03-01,5224,Sales
2020-04-01,4905,Sales
2020-05-01,5909,Sales
2020-06-01,5734,Sales
2020-07-01,6055,Sales
2020-08-01,5759,Sales
2020-09-01,5527,Sales
2020-10-01,5704,Sales
2020-11-01,5732,Sales
2020-12-01,7282,Sales
2021-01-01,5031,Sales
2021-02-01,4910,Sales
2021-03-01,5658,Sales
2021-04-01,5645,Sales
2021-05-01,6016,Sales
2021-06-01,5986,Sales
2021-07-01,6162,Sales
2021-08-01,5701,Sales
2021-09-01,5572,Sales
2021-10-01,5761,Sales
2021-11-01,6021,Sales
2021-12-01,7701,Sales
2022-01-01,4939,Sales
2022-02-01,5057,Sales
2022-03-01,5590,Sales
2022-04-01,5710,Sales
2022-05-01,5919,Sales
2022-06-01,6038,Sales
2022-07-01,6220,Sales
2022-08-01,5970,Sales
2022-09-01,5836,Sales
2022-10-01,5969,Sales
2022-11-01,6269,Sales
2022-12-01,8001,Sales
2023-01-01,5184,Sales
